datasetID,forestRemnantID,decimalLatitude,decimalLongitude,forestRemnantAreaInHectares,distanceFromMainlandInMeters,richnessAll,richnessForest
Feeley2003,Colon,7.247046555,-62.82773675,0.6,6117.75,5,2
Feeley2003,Densa,7.234634856,-62.85005036,0.6,4460.83,10,7
Feeley2003,Miedo,7.29440454,-62.82078493,0.6,5319.35,6,4
Feeley2003,Paloma,7.202017374,-62.83130579,0.6,4851.79,10,8
Feeley2003,Rocas,7.27784784,-62.83695324,0.6,3608.86,10,7
Feeley2003,Sudor,7.353941828,-62.86255546,0.6,2499.07,11,7
Feeley2003,Chiquire,7.235942565,-62.83712502,0.3,5711.75,14,8
Feeley2003,Afuera,7.342722918,-62.8426811,0.2,2128.44,3,2
Feeley2003,Reinita,7.245813121,-62.82860422,0.2,6099.18,5,4
Henriques2021,Divisa,-4.206111111,-49.50111111,2551.45,1,63,58
Henriques2021,Pedral,-4.378888889,-49.59194444,1823.35,103.68,55,54
Henriques2021,Marcelo,-4.154722,-49.545833,342.43,379.03,47,42
Henriques2021,Tamarindo,-4.269167,-49.663611,232.74,5177.37,24,20
Henriques2021,Prefeito,-4.330833,-49.626389,198.66,380.65,31,28
Henriques2021,Cornelio,-4.2875,-49.468056,178.27,3779.55,30,30
Henriques2021,Lucyana,-4.169167,-49.563056,98.23,2348.3,28,24
Henriques2021,Juarez,-4.274722,-49.515556,91.55,1079.11,23,20
Henriques2021,Tiago_B3,-4.2555,-49.6318,73.81,6671.88,22,18
Henriques2021,Sidnei,-4.346389,-49.625556,34.62,659.19,33,30
Henriques2021,Guariba,-4.1775,-49.544444,19.5,450.07,10,7
Henriques2021,Joao-do-Bo,-4.3079,-49.4944,18.59,5745.43,20,12
Henriques2021,Nivia_B3,-4.293889,-49.623611,18.3,3374.25,15,9
Henriques2021,Lobao,-4.306111,-49.627222,17.09,1961.67,16,11
Henriques2021,Ailton,-4.351667,-49.586944,14.74,4265.53,13,11
Henriques2021,Duca,-4.286389,-49.506944,11.02,3110.94,13,9
Henriques2021,Soro,-4.3086,-49.6199,7.31,2490.52,20,15
Henriques2021,Panema,-4.175833,-49.551389,5.4,1435.56,10,9
Irving2018,IS06,9.147782,98.621565,49.8,250,39,35
Irving2018,ISY06,9.062383,98.622297,43.6,1000,23,20
Irving2018,ISY07,9.135229,98.666652,35.4,60,38,35
Irving2018,ISX04,9.042945,98.653713,20.9,1000,25,21
Irving2018,ISX01,9.126772,98.619003,20.8,575,28,24
Irving2018,ISX03,9.082116,98.656424,19.9,320,30,26
Irving2018,ISY11,9.110775,98.626758,19.1,80,36,33
Irving2018,ISY05,9.074364,98.568541,14.8,390,16,14
Irving2018,ISY02,9.14571,98.62875,14.3,330,22,18
Irving2018,ISY01,9.166605,98.611407,12.5,25,38,35
Irving2018,ISY08,9.134511,98.674047,11.8,90,31,29
Irving2018,IS05,9.134963,98.614524,9.8,725,15,13
Irving2018,ISY12,9.081827,98.604726,9.3,90,17,14
Irving2018,ISY16,9.099869,98.635581,9.1,140,16,14
Irving2018,ISX02,9.148764,98.613428,8.2,325,16,11
Irving2018,ISY09,9.130434,98.674604,6.1,145,17,15
Irving2018,ISY14,9.128988,98.632277,4.1,50,19,16
Irving2018,ISY15,9.072106,98.589533,2.7,125,11,8
Irving2018,ISY10,9.128603,98.668328,1.8,135,7,6
Irving2018,IS07,9.125912,98.630154,1.5,150,6,4
Irving2018,IS39,9.147417,98.634701,0.8,425,7,4
Irving2018,IS41,9.132788,98.602234,0.8,67,8,7
Irving2018,ISY17,9.154316,98.635796,0.8,350,10,8
Luypaert2022,Gaviao_real,-1.61868,-59.62579,1698.84,3697.36,23,23
Luypaert2022,Porto_Seguro,-1.7943,-59.51287,1350.56,58.48,29,29
Luypaert2022,Fuzaca,-1.50833,-59.86697,941.71,30.64,23,23
Luypaert2022,Mascote,-1.65936,-59.83546,668.03,4174.35,37,35
Luypaert2022,Beco_do_Catitu,-1.75116,-59.70799,638.66,4069.73,20,20
Luypaert2022,Tristeza,-1.76716,-59.75429,499.91,704.66,24,22
Luypaert2022,Martelo,-1.67561,-59.71948,466.6,10655.88,23,23
Luypaert2022,Tucumari,-1.60038,-59.44716,336.02,59.09,26,25
Luypaert2022,Jabuti,-1.6291,-59.75201,232.49,11465.22,21,21
Luypaert2022,235_234,-1.46213,-59.82167,230.7,1123.87,20,19
Luypaert2022,Cipoal,-1.70606,-59.78051,217.63,3697.21,26,25
Luypaert2022,Furo_de_Santa_Luzia,-1.74154,-59.43596,198.52,124.34,19,19
Luypaert2022,185_358,-1.53759,-59.71342,171.73,11924.75,20,20
Luypaert2022,Pontal,-1.83312,-59.68418,108.76,53.45,24,23
Luypaert2022,Moita,-1.55994,-59.89244,91.3,3262.56,18,17
Luypaert2022,Sapupara,-1.69722,-59.61253,77.8,4234.95,12,12
Luypaert2022,Relogio,-1.67476,-59.64798,70.55,8162.62,8,8
Luypaert2022,Bacaba,-1.50392,-59.82269,53.35,3758.07,12,11
Luypaert2022,54_8,-1.50843,-59.80678,52.71,5440.53,14,14
Luypaert2022,Adeus,-1.87777,-59.65244,50.08,79.31,15,15
Luypaert2022,49_62,-1.41927,-59.80871,39.94,89.57,18,18
Luypaert2022,37_7,-1.5103,-59.79834,39.67,6123.32,9,8
Luypaert2022,44_174,-1.766,-59.48114,39.12,593.14,15,15
Luypaert2022,43_792,-1.74108,-59.47684,38.94,326.49,13,12
