"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Boesing2018MG","P19a",-21.346338,-46.683791,64.23,"terrestrial",NA,2014
"Boesing2018MG","P19b",-21.335714,-46.66788,571.94,"terrestrial",NA,2014
"Boesing2018MG","P19c",-21.331649,-46.674212,571.94,"terrestrial",NA,2014
"Boesing2018MG","P19d",-21.344872,-46.66749,571.94,"terrestrial",NA,2014
"Boesing2018MG","P26a",-21.694339,-46.525211,12.16,"terrestrial",NA,2014
"Boesing2018MG","P26b",-21.693064,-46.538588,7.41,"terrestrial",NA,2014
"Boesing2018MG","P26c",-21.708068,-46.539122,27.27,"terrestrial",NA,2014
"Boesing2018MG","P26d",-21.687999,-46.533244,97.43,"terrestrial",NA,2014
"Boesing2018MG","P27a",-21.803617,-46.685762,75.16,"terrestrial",NA,2014
"Boesing2018MG","P27b",-21.795976,-46.677992,41.27,"terrestrial",NA,2014
"Boesing2018MG","P27c",-21.800277,-46.664632,26.21,"terrestrial",NA,2014
"Boesing2018MG","P27d",-21.80394,-46.667343,26.21,"terrestrial",NA,2014
"Boesing2018MG","P28a",-21.729406,-46.469922,19.73,"terrestrial",NA,2014
"Boesing2018MG","P28b",-21.717123,-46.482764,20.18,"terrestrial",NA,2014
"Boesing2018MG","P28c",-21.74299,-46.473421,213.49,"terrestrial",NA,2014
"Boesing2018MG","P28d",-21.728404,-46.485011,213.49,"terrestrial",NA,2014
"Boesing2018MG","P30a",-21.69726,-46.627983,75.9,"terrestrial",NA,2014
"Boesing2018MG","P30b",-21.70397,-46.615919,68.76,"terrestrial",NA,2014
"Boesing2018MG","P30c",-21.704452,-46.601962,2.33,"terrestrial",NA,2014
"Boesing2018MG","P30d",-21.692802,-46.601451,78.63,"terrestrial",NA,2014
"Boesing2018SP","148a",-23.234507,-46.340861,6.32,"terrestrial",NA,2014
"Boesing2018SP","148b",-23.226859,-46.347588,104.49,"terrestrial",NA,2014
"Boesing2018SP","148c",-23.252134,-46.348455,7.52,"terrestrial",NA,2014
"Boesing2018SP","148d",-23.247073,-46.33338,554.69,"terrestrial",NA,2014
"Boesing2018SP","215a",-23.132461,-46.409023,2.71,"terrestrial",NA,2014
"Boesing2018SP","215b",-23.126614,-46.423922,2.09,"terrestrial",NA,2014
"Boesing2018SP","215c",-23.117966,-46.421527,165.5,"terrestrial",NA,2014
"Boesing2018SP","215d",-23.126446,-46.414982,165.5,"terrestrial",NA,2014
"Boesing2018SP","220a",-23.122991,-46.214796,89.75,"terrestrial",NA,2014
"Boesing2018SP","220b",-23.147447,-46.218778,1.91,"terrestrial",NA,2014
"Boesing2018SP","220c",-23.134973,-46.227341,13.69,"terrestrial",NA,2014
"Boesing2018SP","220d",-23.139,-46.224741,19.94,"terrestrial",NA,2014
"Boesing2018SP","263a",-23.076522,-46.348419,8.82,"terrestrial",NA,2014
"Boesing2018SP","263b",-23.068372,-46.354735,3.24,"terrestrial",NA,2014
"Boesing2018SP","263c",-23.067075,-46.329565,7.53,"terrestrial",NA,2014
"Boesing2018SP","263d",-23.07844,-46.334161,32.49,"terrestrial",NA,2014
"Boesing2018SP","266a",-23.053978,-46.214334,3.44,"terrestrial",NA,2014
"Boesing2018SP","266b",-23.060566,-46.223643,2.8,"terrestrial",NA,2014
"Boesing2018SP","266c",-23.064384,-46.240824,271.95,"terrestrial",NA,2014
"Boesing2018SP","266d",-23.075528,-46.218515,40.88,"terrestrial",NA,2014
"Boesing2018SP","282a",-23.026392,-46.51493,35.21,"terrestrial",NA,2014
